,meter_sale_price,procedure_area,rooms_en,floor_bin,swimming_pool,balcony,elevator,metro,has_parking,area_name_en
459,17722.18,76.74,1 B/R,1-10,0,1,1,1,1,Burj Khalifa
460,15795.87,82.3,1 B/R,11-20,1,1,0,1,1,Burj Khalifa
461,16064.26,99.6,2 B/R,11-20,1,1,1,1,1,Burj Khalifa
462,17730.51,159.97,2 B/R,51-60,1,1,1,1,1,Burj Khalifa
463,28521.57,119.73,2 B/R,1-10,0,1,1,1,1,Burj Khalifa
464,21551.72,111.36,2 B/R,11-20,1,1,0,1,1,Burj Khalifa
465,24161.85,48.44,Studio,21-30,1,1,1,1,1,Burj Khalifa
466,28252.53,143.35,2 B/R,31-40,1,1,1,1,1,Burj Khalifa
467,25485.71,135.37,2 B/R,21-30,1,1,1,1,1,Burj Khalifa
468,12405.96,122.9,1 B/R,Below 1st floor,1,1,0,1,1,Burj Khalifa
469,32023.88,123.97,2 B/R,1-10,0,1,1,1,1,Burj Khalifa
470,10109.18,123.65,2 B/R,1-10,0,1,1,1,1,Burj Khalifa
471,14152.83,91.88,Studio,11-20,1,1,0,1,1,Burj Khalifa
472,20256.02,159.36,3 B/R,11-20,1,1,1,1,1,Burj Khalifa
473,29960.81,110.98,2 B/R,11-20,1,1,1,1,1,Burj Khalifa
474,25104.57,70.03,1 B/R,Below 1st floor,1,1,1,1,1,Burj Khalifa
475,33409.11,101.17,2 B/R,61-70,1,1,1,1,1,Burj Khalifa
476,26455.41,137.59,2 B/R,1-10,0,1,1,1,1,Burj Khalifa
477,27692.4,149.29,2 B/R,31-40,1,1,1,1,1,Burj Khalifa
478,25753.73,145.61,2 B/R,31-40,1,1,1,1,1,Burj Khalifa
479,30221.69,119.48,2 B/R,Below 1st floor,0,1,1,1,1,Burj Khalifa
480,21366.46,40.25,Studio,1-10,1,1,1,1,1,Burj Khalifa
481,11669.97,171.38,2 B/R,Below 1st floor,0,1,0,0,1,Madinat Al Mataar
482,8037.26,70.05,1 B/R,1-10,1,1,1,0,1,Madinat Al Mataar
483,17023.1,67.02,1 B/R,1-10,1,1,1,0,1,Madinat Al Mataar
484,22815.11,103.26,2 B/R,1-10,1,1,1,1,1,Madinat Al Mataar
485,18112.4,129.96,2 B/R,1-10,1,1,1,0,1,Madinat Al Mataar
486,6032.36,72.94,1 B/R,1-10,1,1,1,0,1,Madinat Al Mataar
487,8566.04,58.37,1 B/R,1-10,0,1,1,0,1,Madinat Al Mataar
488,17450.04,35.53,Studio,11-20,1,1,1,0,1,Madinat Al Mataar
489,20610.25,86.85,1 B/R,1-10,1,1,1,0,1,Madinat Al Mataar
490,5930.81,91.05,1 B/R,1-10,1,1,1,0,1,Madinat Al Mataar
491,12013.57,106.13,2 B/R,Below 1st floor,1,1,1,0,1,Madinat Al Mataar
492,20871.36,33.97,Studio,1-10,1,1,1,0,1,Madinat Al Mataar
493,18496.94,113.31,2 B/R,11-20,1,1,1,0,1,Madinat Al Mataar
494,17649.61,93.21,2 B/R,1-10,1,1,1,0,1,Madinat Al Mataar
495,15473.03,67.86,1 B/R,1-10,1,1,1,0,1,Madinat Al Mataar
496,8804.07,39.3,Studio,1-10,1,1,1,0,1,Madinat Al Mataar
497,9248.87,90.93,1 B/R,1-10,1,1,1,0,1,Madinat Al Mataar
498,8971.86,81.44,1 B/R,1-10,1,1,1,0,1,Madinat Al Mataar
499,9094.5,75.87,1 B/R,1-10,1,1,1,0,1,Madinat Al Mataar
500,22080.05,128.17,2 B/R,1-10,1,1,1,0,1,Madinat Al Mataar
501,7250.21,45.23,Studio,1-10,1,1,1,0,1,Madinat Al Mataar
502,18996.73,116.18,2 B/R,1-10,1,1,1,0,1,Madinat Al Mataar
503,19387.45,61.84,1 B/R,1-10,1,1,1,0,1,Madinat Al Mataar
504,7572.33,44.24,Studio,1-10,0,1,1,0,1,Madinat Al Mataar
505,14711.59,90.07,1 B/R,1-10,1,1,1,0,1,Madinat Al Mataar
506,22981.36,102.6,2 B/R,1-10,1,1,1,1,1,Madinat Al Mataar
507,21143.57,69.59,1 B/R,1-10,1,1,1,1,1,Madinat Al Mataar
508,21331.49,68.11,1 B/R,1-10,1,1,1,1,1,Madinat Al Mataar
509,7579.22,109.51,2 B/R,1-10,1,1,1,1,1,Al Hebiah Fourth
510,6351.5,62.19,Studio,1-10,1,1,0,1,1,Al Hebiah Fourth
511,6203.96,51.58,Studio,1-10,1,1,0,1,1,Al Hebiah Fourth
512,5161.13,79.44,1 B/R,1-10,1,1,0,1,1,Al Hebiah Fourth
513,4515.63,50.96,1 B/R,Below 1st floor,1,1,1,1,0,Al Hebiah Fourth
514,5224.3,73.63,1 B/R,1-10,1,1,0,1,1,Al Hebiah Fourth
515,15787.56,82.47,2 B/R,1-10,0,1,1,1,1,Al Hebiah Fourth
516,5257.18,70.38,1 B/R,1-10,1,1,1,1,1,Al Hebiah Fourth
517,4760.7,157.54,2 B/R,11-20,1,1,1,1,1,Al Hebiah Fourth
518,19102.77,58.14,1 B/R,11-20,1,1,1,1,1,Al Hebiah Fourth
519,6094.71,97.05,1 B/R,1-10,1,1,1,1,1,Al Hebiah Fourth
520,6060.02,103.96,2 B/R,11-20,1,1,0,1,1,Al Hebiah Fourth
521,13463.57,37.88,Studio,11-20,1,1,1,1,1,Al Hebiah Fourth
522,8614.05,41.56,Studio,11-20,1,1,0,1,1,Al Hebiah Fourth
523,11980.44,40.9,Studio,11-20,1,1,0,1,1,Al Hebiah Fourth
524,15374.76,78.05,2 B/R,11-20,1,1,1,1,1,Al Hebiah Fourth
525,4950.5,76.76,1 B/R,1-10,1,1,0,1,1,Al Hebiah Fourth
526,10314.17,43.32,Studio,1-10,1,1,1,1,1,Al Hebiah Fourth
527,5550.01,90.09,2 B/R,11-20,1,1,1,1,1,Al Hebiah Fourth
528,7703.42,41.54,Studio,1-10,1,0,1,1,1,Al Hebiah Fourth
529,5721.83,113.6,2 B/R,11-20,1,1,1,1,1,Al Hebiah Fourth
530,7672.96,95.76,1 B/R,11-20,1,1,1,1,1,Al Hebiah Fourth
531,16241.59,78.81,2 B/R,1-10,0,1,1,1,1,Al Hebiah Fourth
532,6968.4,142.07,2 B/R,1-10,1,1,0,1,1,Al Hebiah Fourth
533,10288.95,116.63,2 B/R,11-20,1,1,1,1,1,Al Hebiah Fourth
