Area,Model,Dataset,Date,Actual,Predicted
Al Merkadh,XGBoost,Train,2024-01-01,19325.94,20695.698295288086
Al Merkadh,XGBoost,Train,2024-02-01,18333.19,19282.333295288085
Al Merkadh,XGBoost,Train,2024-03-01,17720.66,18289.583295288085
Al Merkadh,XGBoost,Train,2024-04-01,17870.93,17774.2887689209
Al Merkadh,XGBoost,Train,2024-05-01,19211.53,17924.5587689209
Al Merkadh,XGBoost,Train,2024-06-01,19060.78,19167.923295288085
Al Merkadh,XGBoost,Train,2024-07-01,20184.855,19259.00427368164
Al Merkadh,XGBoost,Train,2024-08-01,19602.47,20169.816708068847
Al Merkadh,XGBoost,Train,2024-09-01,21567.96,19800.69427368164
Al Merkadh,XGBoost,Train,2024-10-01,20488.1,21552.921708068847
Al Merkadh,XGBoost,Train,2024-11-01,19094.55,20473.061708068846
Al Merkadh,XGBoost,Train,2024-12-01,21021.99,19292.77427368164
Al Merkadh,XGBoost,Train,2025-01-01,19758.74,20978.383295288088
Al Merkadh,XGBoost,Train,2025-02-01,19905.21,19715.133295288088
Al Merkadh,XGBoost,Test,2025-03-01,20182.45,19861.603295288085
Al Merkadh,XGBoost,Test,2025-04-01,21616.32,20138.843295288087
Al Merkadh,XGBoost,Test,2025-05-01,20750.63,21572.713295288086
Al Merkadh,XGBoost,Test,2025-06-01,20386.46,20707.023295288087
Al Merkadh,XGBoost,Test,2025-07-01,20094.99,20371.421708068847
Al Merkadh,XGBoost,Test,2025-08-01,20578.7,20079.95170806885
Al Merkadh,XGBoost,Forecast,2025-09-01,,20563.66170806885
Al Merkadh,XGBoost,Forecast,2025-10-01,,20548.623416137696
Al Merkadh,XGBoost,Forecast,2025-11-01,,20533.585124206544
Al Merkadh,XGBoost,Forecast,2025-12-01,,20518.54683227539
Al Merkadh,XGBoost,Forecast,2026-01-01,,20474.940127563477
Al Merkadh,XGBoost,Forecast,2026-02-01,,20431.333422851563
Al Thanyah Fifth,XGBoost,Train,2023-03-01,11460.025,11754.762424316406
Al Thanyah Fifth,XGBoost,Train,2023-04-01,11235.69,11893.322424316406
Al Thanyah Fifth,XGBoost,Train,2023-05-01,14189.585,12150.724423828126
Al Thanyah Fifth,XGBoost,Train,2023-06-01,21977.84,15512.734169921874
Al Thanyah Fifth,XGBoost,Train,2023-07-01,22280.07,22087.861522521973
Al Thanyah Fifth,XGBoost,Train,2023-08-01,19273.85,21775.923729248047
Al Thanyah Fifth,XGBoost,Train,2023-09-01,17433.91,18598.911401367186
Al Thanyah Fifth,XGBoost,Train,2023-10-01,14125.83,16758.971401367187
Al Thanyah Fifth,XGBoost,Train,2023-11-01,12593.78,15027.938825683594
Al Thanyah Fifth,XGBoost,Train,2023-12-01,15743.23,13495.888825683594
Al Thanyah Fifth,XGBoost,Train,2024-01-01,17597.905,16033.867084960937
Al Thanyah Fifth,XGBoost,Train,2024-02-01,14822.8,17093.758729248046
Al Thanyah Fifth,XGBoost,Train,2024-03-01,13870.75,14886.177807617187
Al Thanyah Fifth,XGBoost,Train,2024-04-01,13600.285,14047.676300048828
Al Thanyah Fifth,XGBoost,Train,2024-05-01,15270.7,14515.319423828125
Al Thanyah Fifth,XGBoost,Train,2024-06-01,14363.155,15748.315631103516
Al Thanyah Fifth,XGBoost,Train,2024-07-01,14241.075,15065.251984863282
Al Thanyah Fifth,XGBoost,Train,2024-08-01,22216.61,16079.197680664063
Al Thanyah Fifth,XGBoost,Train,2024-09-01,20771.23,21712.463729248047
Al Thanyah Fifth,XGBoost,Train,2024-10-01,21425.965,20267.083729248046
Al Thanyah Fifth,XGBoost,Train,2024-11-01,17417.73,20751.026401367188
Al Thanyah Fifth,XGBoost,Train,2024-12-01,16748.26,17113.34700439453
Al Thanyah Fifth,XGBoost,Train,2025-01-01,19021.3,17547.74760986328
Al Thanyah Fifth,XGBoost,Train,2025-02-01,17031.57,18511.030743408202
Al Thanyah Fifth,XGBoost,Test,2025-03-01,17655.9,17609.921318359375
Al Thanyah Fifth,XGBoost,Test,2025-04-01,24525.135,17145.630743408205
Al Thanyah Fifth,XGBoost,Test,2025-05-01,20635.02,23850.196401367186
Al Thanyah Fifth,XGBoost,Test,2025-06-01,18807.09,19960.081401367188
Al Thanyah Fifth,XGBoost,Test,2025-07-01,16131.28,18132.151401367188
Al Thanyah Fifth,XGBoost,Test,2025-08-01,19259.81,16953.076813964843
Al Thanyah Fifth,XGBoost,Forecast,2025-09-01,,18584.87140136719
Al Thanyah Fifth,XGBoost,Forecast,2025-10-01,,17909.932802734376
Al Thanyah Fifth,XGBoost,Forecast,2025-11-01,,17234.994204101564
Al Thanyah Fifth,XGBoost,Forecast,2025-12-01,,18056.791018066408
Al Thanyah Fifth,XGBoost,Forecast,2026-01-01,,17767.658052978517
Al Thanyah Fifth,XGBoost,Forecast,2026-02-01,,17257.38879638672
Al Warsan First,XGBoost,Train,2023-03-01,5144.69,5535.265916976929
Al Warsan First,XGBoost,Train,2023-04-01,5586.59,5212.838414611816
Al Warsan First,XGBoost,Train,2023-05-01,5111.11,5629.796199645996
Al Warsan First,XGBoost,Train,2023-06-01,5505.62,5179.258414611816
Al Warsan First,XGBoost,Train,2023-07-01,5491.55,5548.826199645996
Al Warsan First,XGBoost,Train,2023-08-01,5434.78,5517.780916976929
Al Warsan First,XGBoost,Train,2023-09-01,5497.255,5477.986199645996
Al Warsan First,XGBoost,Train,2023-10-01,5569.23,5540.461199645996
Al Warsan First,XGBoost,Train,2023-11-01,5462.16,5612.436199645996
Al Warsan First,XGBoost,Train,2023-12-01,5429.98,5505.366199645996
Al Warsan First,XGBoost,Train,2024-01-01,5430.57,5473.186199645996
Al Warsan First,XGBoost,Train,2024-02-01,5597.225,5473.776199645996
Al Warsan First,XGBoost,Train,2024-03-01,5777.78,5640.4311996459965
Al Warsan First,XGBoost,Train,2024-04-01,5895.52,5820.986199645996
Al Warsan First,XGBoost,Train,2024-05-01,6001.43,5938.7261996459965
Al Warsan First,XGBoost,Train,2024-06-01,5989.360000000001,6044.636199645996
Al Warsan First,XGBoost,Train,2024-07-01,6022.73,6032.566199645997
Al Warsan First,XGBoost,Train,2024-08-01,6057.865,6065.936199645996
Al Warsan First,XGBoost,Train,2024-09-01,6000.62,6101.071199645996
Al Warsan First,XGBoost,Train,2024-10-01,6208.935,6043.826199645996
Al Warsan First,XGBoost,Train,2024-11-01,6369.3150000000005,6252.1411996459965
Al Warsan First,XGBoost,Train,2024-12-01,6305.0,6412.521199645997
Al Warsan First,XGBoost,Train,2025-01-01,6565.66,6348.206199645996
Al Warsan First,XGBoost,Train,2025-02-01,6544.5,6608.866199645996
Al Warsan First,XGBoost,Test,2025-03-01,6623.475,6587.706199645996
Al Warsan First,XGBoost,Test,2025-04-01,6566.93,6666.6811996459965
Al Warsan First,XGBoost,Test,2025-05-01,6771.33,6610.136199645996
Al Warsan First,XGBoost,Test,2025-06-01,6543.335,6814.536199645996
Al Warsan First,XGBoost,Test,2025-07-01,6717.99,6586.541199645996
Al Warsan First,XGBoost,Test,2025-08-01,6824.485,6761.196199645996
Al Warsan First,XGBoost,Forecast,2025-09-01,,6867.691199645996
Al Warsan First,XGBoost,Forecast,2025-10-01,,6910.897399291992
Al Warsan First,XGBoost,Forecast,2025-11-01,,6954.103598937988
Al Warsan First,XGBoost,Forecast,2025-12-01,,6997.309798583984
Al Warsan First,XGBoost,Forecast,2026-01-01,,7040.51599822998
Al Warsan First,XGBoost,Forecast,2026-02-01,,7083.722197875976
Al Yelayiss 2,XGBoost,Train,2023-03-01,11040.35,12576.025419311523
Al Yelayiss 2,XGBoost,Train,2023-04-01,10858.44,11150.529077148438
Al Yelayiss 2,XGBoost,Train,2023-05-01,10016.63,10968.619077148438
Al Yelayiss 2,XGBoost,Train,2023-06-01,10708.12,10126.809077148437
Al Yelayiss 2,XGBoost,Train,2023-07-01,10287.04,10769.476021881104
Al Yelayiss 2,XGBoost,Train,2023-08-01,11039.89,10348.396021881104
Al Yelayiss 2,XGBoost,Train,2023-09-01,11139.37,11101.246021881103
Al Yelayiss 2,XGBoost,Train,2023-10-01,10620.61,11200.726021881104
Al Yelayiss 2,XGBoost,Train,2023-11-01,11312.165,10730.789077148438
Al Yelayiss 2,XGBoost,Train,2023-12-01,12325.42,11422.344077148438
Al Yelayiss 2,XGBoost,Train,2024-01-01,12318.38,12386.776021881104
Al Yelayiss 2,XGBoost,Train,2024-02-01,12546.4,12428.559077148437
Al Yelayiss 2,XGBoost,Train,2024-03-01,12161.66,12530.345419311523
Al Yelayiss 2,XGBoost,Train,2024-04-01,12063.65,12271.839077148437
Al Yelayiss 2,XGBoost,Train,2024-05-01,12263.06,12173.829077148437
Al Yelayiss 2,XGBoost,Train,2024-06-01,12990.55,12373.239077148437
Al Yelayiss 2,XGBoost,Train,2024-07-01,11486.255,12974.495419311523
Al Yelayiss 2,XGBoost,Train,2024-08-01,12146.89,11596.434077148437
Al Yelayiss 2,XGBoost,Train,2024-09-01,12694.955,12257.069077148437
Al Yelayiss 2,XGBoost,Train,2024-10-01,12071.16,12678.900419311523
Al Yelayiss 2,XGBoost,Train,2024-11-01,11897.75,12181.339077148437
Al Yelayiss 2,XGBoost,Train,2024-12-01,12873.87,12007.929077148438
Al Yelayiss 2,XGBoost,Train,2025-01-01,13959.81,12957.938649291993
Al Yelayiss 2,XGBoost,Train,2025-02-01,14293.905,14043.878649291992
