Area,Date,Actual,ARIMA_Fitted,ARIMA_Forecast,SARIMA_Fitted,SARIMA_Forecast,Prophet_Fitted,Prophet_Forecast
Nadd Hessa,2025-08-01,,,,,,,
Nadd Hessa,2025-09-01,,,,,,,
Nadd Hessa,2025-10-01,,,,,,,
Nadd Hessa,2025-11-01,,,,,,,
Nadd Hessa,2025-12-01,,,,,,,
Nadd Hessa,2026-01-01,,,,,,,
Nadd Hessa,2026-02-01,,,,,,,
Palm Jumeirah,2025-01-01,,,,,,,
Palm Jumeirah,2025-02-01,,,,,,,
Palm Jumeirah,2025-03-01,,,,,,,
Palm Jumeirah,2025-04-01,,,,,,,
Palm Jumeirah,2025-05-01,,,,,,,
Palm Jumeirah,2025-06-01,,,,,,,
Palm Jumeirah,2025-07-01,,,,,,,
Palm Jumeirah,2025-08-01,,,,,,,
Palm Jumeirah,2025-09-01,,,,,,,
Palm Jumeirah,2025-10-01,,,,,,,
Palm Jumeirah,2025-11-01,,,,,,,
Palm Jumeirah,2025-12-01,,,,,,,
Palm Jumeirah,2026-01-01,,,,,,,
Palm Jumeirah,2026-02-01,,,,,,,
Wadi Al Safa 5,2025-01-01,,,,,,,
Wadi Al Safa 5,2025-02-01,,,,,,,
Wadi Al Safa 5,2025-03-01,,,,,,,
Wadi Al Safa 5,2025-04-01,,,,,,,
Wadi Al Safa 5,2025-05-01,,,,,,,
Wadi Al Safa 5,2025-06-01,,,,,,,
Wadi Al Safa 5,2025-07-01,,,,,,,
Wadi Al Safa 5,2025-08-01,,,,,,,
Wadi Al Safa 5,2025-09-01,,,,,,,
Wadi Al Safa 5,2025-10-01,,,,,,,
Wadi Al Safa 5,2025-11-01,,,,,,,
Wadi Al Safa 5,2025-12-01,,,,,,,
Wadi Al Safa 5,2026-01-01,,,,,,,
Wadi Al Safa 5,2026-02-01,,,,,,,
