Area,Model,Dataset,Date,Actual,Predicted
Al Barshaa South Third,ARIMA,Train,2024-11-01,13460.915,14221.39
Al Barshaa South Third,ARIMA,Train,2024-12-01,14190.33,13460.915
Al Barshaa South Third,ARIMA,Test,2025-01-01,13971.79,14190.33
Al Barshaa South Third,ARIMA,Test,2025-02-01,13739.82,14190.33
Al Barshaa South Third,ARIMA,Test,2025-03-01,13664.25,14190.33
Al Barshaa South Third,ARIMA,Test,2025-04-01,14596.85,14190.33
Al Barshaa South Third,ARIMA,Test,2025-05-01,13952.35,14190.33
Al Barshaa South Third,ARIMA,Test,2025-06-01,14209.25,14190.33
Al Barshaa South Third,ARIMA,Test,2025-07-01,14436.654999999999,14190.33
Al Barshaa South Third,ARIMA,Test,2025-08-01,13962.48,14190.33
Al Barshaa South Third,SARIMA,Train,2022-09-01,12485.23,12485.23
Al Barshaa South Third,SARIMA,Train,2022-10-01,12299.470000000001,12485.229999999998
Al Barshaa South Third,SARIMA,Train,2022-11-01,10494.900000000001,12299.470000000001
Al Barshaa South Third,SARIMA,Train,2022-12-01,8983.35,10494.900000000001
Al Barshaa South Third,SARIMA,Train,2023-01-01,10565.11,8983.35
Al Barshaa South Third,SARIMA,Train,2023-02-01,11256.145,10565.11
Al Barshaa South Third,SARIMA,Train,2023-03-01,11121.37,11256.145
Al Barshaa South Third,SARIMA,Train,2023-04-01,11486.759999999998,11121.37
Al Barshaa South Third,SARIMA,Train,2023-05-01,14704.015,11486.759999999998
Al Barshaa South Third,SARIMA,Train,2023-06-01,14085.275,14704.015
Al Barshaa South Third,SARIMA,Train,2023-07-01,12788.99,14085.275
Al Barshaa South Third,SARIMA,Train,2023-08-01,14962.67,12788.99
Al Barshaa South Third,SARIMA,Train,2023-09-01,14823.86,22215.676553930745
Al Barshaa South Third,SARIMA,Train,2023-10-01,12006.47,14689.139780887443
Al Barshaa South Third,SARIMA,Train,2023-11-01,12594.77,10697.727182364584
Al Barshaa South Third,SARIMA,Train,2023-12-01,11662.95,11498.536434110723
Al Barshaa South Third,SARIMA,Train,2024-01-01,12682.75,12810.102528980862
Al Barshaa South Third,SARIMA,Train,2024-02-01,13696.33,13183.914871955474
Al Barshaa South Third,SARIMA,Train,2024-03-01,13450.48,13598.586042577006
Al Barshaa South Third,SARIMA,Train,2024-04-01,13796.74,13715.47472901345
Al Barshaa South Third,SARIMA,Train,2024-05-01,13621.59,16130.01572427317
Al Barshaa South Third,SARIMA,Train,2024-06-01,14070.19,13172.856212458515
Al Barshaa South Third,SARIMA,Train,2024-07-01,14241.63,13130.074801720895
Al Barshaa South Third,SARIMA,Train,2024-08-01,14255.015,15818.065432173731
Al Barshaa South Third,SARIMA,Train,2024-09-01,13539.325,16717.535207473837
Al Barshaa South Third,SARIMA,Train,2024-10-01,14221.39,11812.166909364474
Al Barshaa South Third,SARIMA,Train,2024-11-01,13460.915,14038.735398001743
Al Barshaa South Third,SARIMA,Train,2024-12-01,14190.33,12462.277638749674
Al Barshaa South Third,SARIMA,Test,2025-01-01,13971.79,15261.88582616332
Al Barshaa South Third,SARIMA,Test,2025-02-01,13739.82,16067.221290285175
Al Barshaa South Third,SARIMA,Test,2025-03-01,13664.25,15881.561305000192
Al Barshaa South Third,SARIMA,Test,2025-04-01,14596.85,16194.79525304855
Al Barshaa South Third,SARIMA,Test,2025-05-01,13952.35,17039.064708382568
Al Barshaa South Third,SARIMA,Test,2025-06-01,14209.25,17122.989959556427
Al Barshaa South Third,SARIMA,Test,2025-07-01,14436.654999999999,16842.696035829536
Al Barshaa South Third,SARIMA,Test,2025-08-01,13962.48,17491.301766029886
Al Barshaa South Third,Prophet,Train,2022-09-01,12485.23,12586.025052698786
Al Barshaa South Third,Prophet,Train,2022-10-01,12299.470000000001,11516.161432054096
Al Barshaa South Third,Prophet,Train,2022-11-01,10494.900000000001,11008.785734234698
Al Barshaa South Third,Prophet,Train,2022-12-01,8983.35,10261.228774729128
Al Barshaa South Third,Prophet,Train,2023-01-01,10565.11,10631.061817718686
Al Barshaa South Third,Prophet,Train,2023-02-01,11256.145,11565.401671547683
Al Barshaa South Third,Prophet,Train,2023-03-01,11121.37,10927.564827230955
Al Barshaa South Third,Prophet,Train,2023-04-01,11486.759999999998,11223.742986980704
Al Barshaa South Third,Prophet,Train,2023-05-01,14704.015,14394.230063155162
Al Barshaa South Third,Prophet,Train,2023-06-01,14085.275,13766.47114939991
Al Barshaa South Third,Prophet,Train,2023-07-01,12788.99,12501.658171763298
Al Barshaa South Third,Prophet,Train,2023-08-01,14962.67,14745.883969111515
Al Barshaa South Third,Prophet,Train,2023-09-01,14823.86,14609.981238489616
Al Barshaa South Third,Prophet,Train,2023-10-01,12006.47,12448.495647434349
Al Barshaa South Third,Prophet,Train,2023-11-01,12594.77,12221.398624401074
Al Barshaa South Third,Prophet,Train,2023-12-01,11662.95,10808.810984594671
Al Barshaa South Third,Prophet,Train,2024-01-01,12682.75,12617.966513047979
Al Barshaa South Third,Prophet,Train,2024-02-01,13696.33,13389.788534105339
Al Barshaa South Third,Prophet,Train,2024-03-01,13450.48,13645.331127891315
Al Barshaa South Third,Prophet,Train,2024-04-01,13796.74,14061.559657532498
Al Barshaa South Third,Prophet,Train,2024-05-01,13621.59,13931.36202269905
Al Barshaa South Third,Prophet,Train,2024-06-01,14070.19,14389.229986717952
Al Barshaa South Third,Prophet,Train,2024-07-01,14241.63,14526.974825190735
Al Barshaa South Third,Prophet,Train,2024-08-01,14255.015,14470.075769175268
Al Barshaa South Third,Prophet,Train,2024-09-01,13539.325,13650.646444592148
Al Barshaa South Third,Prophet,Train,2024-10-01,14221.39,14561.240754784933
Al Barshaa South Third,Prophet,Train,2024-11-01,13460.915,13319.251814570285
Al Barshaa South Third,Prophet,Train,2024-12-01,14190.33,13765.917310805198
Al Barshaa South Third,Prophet,Test,2025-01-01,13971.79,11058.709664381155
Al Barshaa South Third,Prophet,Test,2025-02-01,13739.82,12010.192698627383
Al Barshaa South Third,Prophet,Test,2025-03-01,13664.25,13846.548506889232
Al Barshaa South Third,Prophet,Test,2025-04-01,14596.85,14172.91800628615
Al Barshaa South Third,Prophet,Test,2025-05-01,13952.35,15120.957672863922
Al Barshaa South Third,Prophet,Test,2025-06-01,14209.25,15210.030466800215
Al Barshaa South Third,Prophet,Test,2025-07-01,14436.654999999999,14846.806066167339
Al Barshaa South Third,Prophet,Test,2025-08-01,13962.48,15529.696366685464
Al Hebiah First,ARIMA,Train,2022-09-01,6280.16,6280.16
Al Hebiah First,ARIMA,Train,2022-10-01,6674.12,5366.692822032465
Al Hebiah First,ARIMA,Train,2022-11-01,6890.74,3217.597425873897
Al Hebiah First,ARIMA,Train,2022-12-01,7305.685,8378.45201718187
Al Hebiah First,ARIMA,Train,2023-01-01,6142.145,6300.042067845873
Al Hebiah First,ARIMA,Train,2023-02-01,5708.35,6480.924028298684
Al Hebiah First,ARIMA,Train,2023-03-01,6864.53,6237.4038981545655
Al Hebiah First,ARIMA,Train,2023-04-01,6657.7,6831.6088887755495
Al Hebiah First,ARIMA,Train,2023-05-01,7795.75,5939.62544822019
Al Hebiah First,ARIMA,Train,2023-06-01,8335.75,8385.68681186855
Al Hebiah First,ARIMA,Train,2023-07-01,7320.64,7257.576453686897
Al Hebiah First,ARIMA,Train,2023-08-01,7657.585,7624.55598430417
Al Hebiah First,ARIMA,Train,2023-09-01,9705.65,8121.4541723581
Al Hebiah First,ARIMA,Train,2023-10-01,7509.77,9237.540238138792
Al Hebiah First,ARIMA,Train,2023-11-01,7098.07,6461.4639421879965
Al Hebiah First,ARIMA,Train,2023-12-01,6646.36,9132.759081685492
Al Hebiah First,ARIMA,Train,2024-01-01,6727.3,5650.290386248871
Al Hebiah First,ARIMA,Train,2024-02-01,7017.34,7628.211541091392
Al Hebiah First,ARIMA,Train,2024-03-01,7882.68,6416.409335728425
Al Hebiah First,ARIMA,Train,2024-04-01,7673.96,8080.951115977826
Al Hebiah First,ARIMA,Train,2024-05-01,7565.19,6998.545722964334
